DATE, TIME, TRACK NUM, EZ, EX, SPEED (mph), 
16APR24, 17:38:53.1, Track 2, 37, 100, 43, 
16APR24, 17:38:53.9, Track 4, 17, 102, 60, 
16APR24, 17:38:54.4, Track 3, 103, 99, 5, 
16APR24, 17:38:56.7, Track 2, 40, 100, 47, 
16APR24, 17:38:56.7, Track 4, 14, 101, 62, 
16APR24, 17:38:59.5, Track 4, 11, 100, 63, 
16APR24, 17:38:59.9, Track 4, 11, 103, 62, 
16APR24, 17:39:00.7, Track 2, 43, 100, 44, 
16APR24, 17:39:02.3, Track 4, 8, 103, 61, 
16APR24, 17:39:04.3, Track 2, 46, 100, 46, 
16APR24, 17:39:07.9, Track 4, 2, 103, 59, 
16APR24, 17:39:08.4, Track 3, 91, 99, 33, 
16APR24, 17:39:08.7, Track 3, 69, 97, 80, 
16APR24, 17:39:09.1, Track 2, 49, 100, 38, 
16APR24, 17:39:09.5, Track 3, 47, 97, , 
16APR24, 17:39:09.9, Track 3, 24, 100, , 
16APR24, 17:39:10.4, Track 3, 9, 100, , 
16APR24, 17:39:13.4, Track 2, 52, 100, 38, 
16APR24, 17:39:13.4, Track 3, 6, 100, 53, 
16APR24, 17:39:17.1, Track 2, 55, 100, 41, 
16APR24, 17:39:21.5, Track 2, 58, 100, 41, 
16APR24, 17:39:21.9, Track 3, 0, 100, , 
16APR24, 17:39:26.2, Track 2, 61, 100, 39, 
16APR24, 17:39:31.0, Track 2, 64, 100, 37, 
16APR24, 17:39:35.9, Track 2, 67, 100, 33, 
16APR24, 17:39:41.4, Track 2, 70, 100, 35, 
16APR24, 17:39:45.8, Track 2, 73, 100, 35, 
16APR24, 17:39:50.5, Track 2, 76, 100, 39, 
16APR24, 17:39:55.0, Track 2, 79, 100, 35, 
16APR24, 17:39:55.4, Track 4, 27, 103, , 
16APR24, 17:39:55.8, Track 4, 51, 103, 97, 
16APR24, 17:39:56.2, Track 4, 75, 103, , 
16APR24, 17:39:56.6, Track 4, 97, 103, , 
16APR24, 17:39:58.9, Track 4, 100, 101, , 
16APR24, 17:40:00.1, Track 2, 82, 100, 38, 
16APR24, 17:40:03.7, Track 2, 85, 100, 46, 
16APR24, 17:40:10.9, Track 3, 3, 100, , 
16APR24, 17:40:12.5, Track 2, 88, 101, 42, 
16APR24, 17:40:14.9, Track 3, 6, 100, 53, 
16APR24, 17:40:16.5, Track 2, 91, 101, 44, 
16APR24, 17:40:18.5, Track 3, 9, 100, 53, 
16APR24, 17:40:22.1, Track 2, 94, 101, 30, 
16APR24, 17:40:22.5, Track 3, 12, 100, 51, 
16APR24, 17:40:26.4, Track 3, 15, 100, 52, 
16APR24, 17:40:30.1, Track 3, 18, 100, 53, 
16APR24, 17:40:33.3, Track 1, 103, 97, 31, 
16APR24, 17:40:33.3, Track 3, 21, 100, 60, 
16APR24, 17:40:34.1, Track 2, 97, 101, 9, 
16APR24, 17:40:37.2, Track 3, 24, 100, 53, 
16APR24, 17:40:40.4, Track 3, 27, 100, 57, 
16APR24, 17:40:42.8, Track 1, 100, 98, 16, 
16APR24, 17:40:44.4, Track 3, 30, 100, 57, 
16APR24, 17:40:47.6, Track 3, 33, 100, 60, 
16APR24, 17:40:51.2, Track 3, 36, 100, 59, 
16APR24, 17:40:54.4, Track 3, 39, 100, 63, 
16APR24, 17:40:57.1, Track 1, 103, 97, 39, 
16APR24, 17:40:57.5, Track 3, 42, 100, 63, 
16APR24, 17:41:00.7, Track 3, 45, 100, 58, 
16APR24, 17:41:04.0, Track 3, 48, 100, 67, 
16APR24, 17:41:06.7, Track 3, 51, 100, 67, 
16APR24, 17:41:09.6, Track 1, 100, 98, 17, 
16APR24, 17:41:09.6, Track 3, 54, 100, 71, 
16APR24, 17:41:11.9, Track 3, 57, 100, 76, 
16APR24, 17:41:15.1, Track 3, 60, 100, 57, 
16APR24, 17:41:18.3, Track 3, 63, 100, 65, 
16APR24, 17:41:21.1, Track 3, 66, 100, 73, 
16APR24, 17:41:23.5, Track 3, 69, 100, 83, 
16APR24, 17:41:26.6, Track 3, 72, 100, 67, 
16APR24, 17:41:29.0, Track 3, 75, 100, 89, 
16APR24, 17:41:32.3, Track 3, 78, 100, 66, 
16APR24, 17:41:34.3, Track 3, 81, 100, 82, 
16APR24, 17:41:37.4, Track 3, 84, 100, 58, 
16APR24, 17:41:39.5, Track 3, 87, 100, 82, 
16APR24, 17:41:41.0, Track 3, 90, 100, 109, 
16APR24, 17:41:46.7, Track 3, 93, 101, 65, 
16APR24, 17:41:52.6, Track 3, 96, 100, 38, 
16APR24, 17:42:05.0, Track 3, 99, 100, 34, 
16APR24, 17:42:14.6, Track 1, 103, 97, 30, 
16APR24, 17:42:35.7, Track 3, 102, 99, 13, 
16APR24, 17:43:16.3, Track 1, 99, 98, 24, 
16APR24, 17:43:31.5, Track 1, 102, 97, 23, 
16APR24, 17:43:40.6, Track 1, 99, 98, 41, 
16APR24, 17:44:19.8, Track 1, 102, 97, 36, 
16APR24, 17:44:29.7, Track 1, 99, 98, 40, 
16APR24, 17:44:44.5, Track 1, 102, 97, 11, 
16APR24, 17:45:23.1, Track 1, 98, 98, 20, 
16APR24, 17:45:32.6, Track 1, 101, 97, 38, 
